
103     Zhao     M       19      85.70
109     Xu       M       19      89.80
108     Zhen     M       21      90.10
105     Gou      M       19      90.20
106     Lin      M       18      91.50
102     Wang     F       18      92.40
110     Mao      F       18      94.90
101     Zhang    M       19      95.60
104     Li       M       20      96.30
107     Ma       F       17      98.70

m=3
i=7
p(7)=  101     Zhang    M       19      95.60
p(8)=  104     Li       M       20      96.30
p(9)=  107     Ma       F       17      98.70

