101       Zhang     M    19   095.6   
102       Wang      F    18   092.4   
103       Zhao      M    19   085.7   
104       Li        M    20   096.3   
105       Gou       M    19   090.2   
106       Lin       M    18   091.5   
107       Ma        F    17   098.7   
108       Zhen      M    21   090.1   
109       Xu        M    19   089.8   
110       Mao       F    18   094.9   

103       Zhao      M    19   085.7   
109       Xu        M    19   089.8   
108       Zhen      M    21   090.1   
105       Gou       M    19   090.2   
106       Lin       M    18   091.5   
102       Wang      F    18   092.4   
110       Mao       F    18   094.9   
101       Zhang     M    19   095.6   
104       Li        M    20   096.3   
107       Ma        F    17   098.7   

p(7)=  101       Zhang     M    19   095.6   
p(8)=  104       Li        M    20   096.3   
p(9)=  107       Ma        F    17   098.7   

