101       Zhang     M    19   95.6    
102       Wang      F    18   92.4    
103       Zhao      M    19   85.7    
104       Li        M    20   96.3    
105       Gou       M    19   90.2    
106       Lin       M    18   91.5    
107       Ma        F    17   98.7    
108       Zhen      M    21   90.1    
109       Xu        M    19   89.8    
110       Mao       F    18   94.9    

101       Zhang     M    19   95.6    
103       Zhao      M    19   85.7    
109       Xu        M    19   89.8    
108       Zhen      M    21   90.1    
105       Gou       M    19   90.2    
106       Lin       M    18   91.5    
102       Wang      F    18   92.4    
104       Li        M    20   96.3    
107       Ma        F    17   98.7    
110       Mao       F    18   94.9    

